MAIN_ID,oRA,oDE,n_Name,Name,MAG_USE,min,OK,c,RA,DEC,PMRA,PMDEC
42754,0.2784,-16.5332," ",42754,13.28,20.98,1,100.0,6.023877,-72.085876,0.0,0.0
42193,-8.0122,-17.1761," ",42193,11.93,22.8,1,100.0,6.016389,-72.086055,0.0,0.0
44711,-12.524,-14.2339," ",44711,12.61,23.31,1,100.0,6.012315,-72.085237,0.0,0.0
49545,-2.8694,-8.8932," ",49545,13.08,21.66,1,100.0,6.021034,-72.083754,0.0,0.0
47985,1.3424,-10.6171," ",47985,13.21,20.63,1,99.96,6.024837,-72.084233,0.0,0.0
46415,-4.0732,-12.3743," ",46415,13.3,19.26,1,99.96,6.019947,-72.084721,0.0,0.0
47727,-12.0082,-10.8892," ",47727,14.0,23.63,1,99.74,6.012781,-72.084308,0.0,0.0
39477,-4.6388,-20.2985," ",39477,13.64,23.32,1,99.94,6.019436,-72.086922,0.0,0.0
47482,-0.8184,-11.1668," ",47482,13.84,22.27,1,99.8,6.022886,-72.084385,0.0,0.0
44487,-7.1822,-14.4833," ",44487,13.82,23.63,1,99.89,6.017139,-72.085307,0.0,0.0
